Index,Date,Open,High,Low,Close,Volume
Nifty Bank,2021-12-28,35308.30,35352.40,35037.90,35183.80,0
Nifty Bank,2021-12-29,35168.85,35378.30,34890.80,35045.40,0
Nifty Bank,2021-12-30,34977.65,35179.05,34751.25,35063.60,0
Nifty Bank,2021-12-31,35114.40,35596.95,35113.75,35481.70,0
Nifty Bank,2022-01-03,35585.20,36492.10,35526.60,36421.90,0
Nifty Bank,2022-01-04,36551.25,36887.80,36374.40,36840.15,0
Nifty Bank,2022-01-05,36943.55,37862.40,36756.35,37695.90,0
Nifty Bank,2022-01-06,37242.55,37752.50,37058.45,37490.25,0
Nifty Bank,2022-01-07,37667.05,38134.85,37427.80,37739.60,0
Nifty Bank,2022-01-10,37930.55,38400.35,37929.35,38347.90,0
Nifty Bank,2022-01-11,38370.00,38504.60,38031.75,38442.20,0
Nifty Bank,2022-01-12,38719.60,38851.45,38604.60,38727.55,0
Nifty Bank,2022-01-13,38717.55,38717.55,38376.15,38469.95,0
Nifty Bank,2022-01-14,38302.35,38448.05,38007.75,38370.40,0
Nifty Bank,2022-01-17,38212.55,38617.50,38138.25,38216.15,0
Nifty Bank,2022-01-18,38337.40,38855.55,38095.40,38210.30,0
Nifty Bank,2022-01-19,38145.75,38330.50,37769.25,38041.35,0
Nifty Bank,2022-01-20,38106.10,38167.95,37591.85,37850.85,0
Nifty Bank,2022-01-21,37522.35,37741.00,37224.25,37574.30,0
Nifty Bank,2022-01-24,37601.95,37694.70,36375.35,36947.55,0
Nifty Bank,2022-01-25,36598.05,37788.80,36415.60,37706.75,0
Nifty Bank,2022-01-27,37058.20,38147.65,37012.25,37982.10,0
Nifty Bank,2022-01-28,38246.60,38421.70,37581.50,37689.40,0
Nifty Bank,2022-01-31,38091.80,38217.25,37647.85,37975.35,0
Nifty Bank,2022-02-01,38460.45,38802.70,37690.60,38505.50,0
Nifty Bank,2022-02-02,38841.55,39386.60,38752.65,39330.50,0
Nifty Bank,2022-02-03,39255.70,39424.85,38861.15,39010.00,0
Nifty Bank,2022-02-04,39128.00,39278.60,38562.60,38789.35,0
Nifty Bank,2022-02-07,38592.05,38837.55,37802.70,37995.45,0
Nifty Bank,2022-02-08,38176.10,38222.10,37319.05,38028.45,0
Nifty Bank,2022-02-09,38283.60,38648.15,38192.00,38610.25,0
Nifty Bank,2022-02-10,38801.45,39197.20,38520.00,39010.95,0
Nifty Bank,2022-02-11,38567.65,38790.25,38396.40,38517.25,0
Nifty Bank,2022-02-14,37664.00,37796.55,36828.05,36908.55,0
Nifty Bank,2022-02-15,36989.80,38231.60,36651.85,38170.10,0
Nifty Bank,2022-02-16,38296.50,38461.70,37762.80,37953.80,0
Nifty Bank,2022-02-17,38042.10,38124.50,37425.60,37531.65,0
Nifty Bank,2022-02-18,37344.45,37817.55,37304.45,37599.15,0
Nifty Bank,2022-02-21,37400.00,38054.40,37156.80,37685.60,0
Nifty Bank,2022-02-22,36833.00,37659.40,36818.10,37371.65,0
Nifty Bank,2022-02-23,37628.55,37774.60,37318.00,37392.05,0
Nifty Bank,2022-02-24,36085.20,36709.15,34991.35,35228.10,0
Nifty Bank,2022-02-25,35901.70,36684.65,35768.20,36430.75,0
Nifty Bank,2022-02-28,35938.95,36270.25,35611.90,36205.30,0
Nifty Bank,2022-03-02,35381.90,35553.70,34897.45,35372.80,0
Nifty Bank,2022-03-03,35621.15,35804.15,34721.15,34944.30,0
Nifty Bank,2022-03-04,34526.10,35097.75,34094.10,34407.80,0
Nifty Bank,2022-03-07,33278.15,33543.30,32376.50,32871.25,0
Nifty Bank,2022-03-08,32531.90,33263.55,32155.35,33158.10,0
Nifty Bank,2022-03-09,33278.90,33969.50,32948.90,33815.45,0
Nifty Bank,2022-03-10,35153.95,35374.15,34218.05,34475.60,0
Nifty Bank,2022-03-11,34331.00,34880.05,34094.30,34546.25,0
Nifty Bank,2022-03-14,34660.25,35435.10,34625.05,35312.15,0
Nifty Bank,2022-03-15,35467.95,35643.80,34706.05,35022.65,0
Nifty Bank,2022-03-16,35555.75,35806.35,35461.55,35748.25,0
Nifty Bank,2022-03-17,36302.00,36611.95,36261.65,36428.55,0
Nifty Bank,2022-03-21,36545.85,36600.20,35900.20,36018.50,0
Nifty Bank,2022-03-22,35975.60,36468.80,35384.75,36348.55,0
Nifty Bank,2022-03-23,36627.70,36827.60,36064.75,36147.35,0
Nifty Bank,2022-03-24,35633.70,35957.70,35421.70,35527.10,0
Nifty Bank,2022-03-25,35700.40,35717.40,35203.85,35410.10,0
Nifty Bank,2022-03-28,35488.70,35770.80,35016.30,35710.50,0
Nifty Bank,2022-03-29,35931.75,35977.20,35506.55,35847.40,0
Nifty Bank,2022-03-30,36241.55,36421.10,36070.55,36334.30,0
Nifty Bank,2022-03-31,36457.20,36590.85,36278.15,36373.60,0
